epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
74,6874.38,0.99858,0.98881,2.03712,0.00349,0.3658,0.74137,0.68819,0.71078,0.53041,0.71773,0.67725,0.67523,0.47162,1.46935,2.02595,6.20572,0.00757,0,0.00020728,0.00020728,0.00020728
75,6993.71,0.99021,0.98944,1.99167,0.0035,0.35954,0.73898,0.71349,0.72253,0.54303,0.72357,0.69023,0.68427,0.46912,1.43157,2.04295,6.24556,0.00743,0,0.00020464,0.00020464,0.00020464
76,7092.68,0.97953,0.98531,1.90808,0.00328,0.3557,0.76851,0.65034,0.69571,0.52771,0.7726,0.63996,0.68332,0.47572,1.46407,2.03944,6.55776,0.00778,0,0.000202,0.000202,0.000202
77,7176.37,0.96639,0.99166,1.90258,0.0033,0.35951,0.74154,0.68065,0.70296,0.53545,0.68589,0.68864,0.67821,0.46528,1.45397,2.02911,6.38575,0.00752,0,0.00019936,0.00019936,0.00019936
78,7275.77,0.95865,0.99734,1.95174,0.00325,0.35504,0.75047,0.6715,0.71012,0.5448,0.71753,0.6626,0.68489,0.47343,1.44465,2.03558,6.4552,0.00764,0,0.00019672,0.00019672,0.00019672
79,7349.17,0.91429,0.93188,1.81312,0.00332,0.36114,0.74215,0.68383,0.72854,0.55468,0.71659,0.6673,0.68909,0.48109,1.41991,2.03333,6.11987,0.00756,0,0.00019408,0.00019408,0.00019408
80,7453.45,0.96843,0.99034,1.93574,0.00321,0.3666,0.7764,0.6638,0.71739,0.54644,0.75118,0.65171,0.68699,0.47989,1.47601,2.15266,5.87439,0.00759,0,0.00019144,0.00019144,0.00019144
81,7520.31,0.95087,0.93527,1.92475,0.00343,0.35944,0.76546,0.65513,0.70607,0.53952,0.73285,0.64912,0.67246,0.46509,1.47238,2.14536,6.14923,0.00779,0,0.0001888,0.0001888,0.0001888
82,7599.22,0.92894,0.94575,1.83375,0.00331,0.35351,0.76319,0.67714,0.71332,0.54725,0.74503,0.66666,0.68762,0.47095,1.42001,1.92055,6.04574,0.0073,0,0.00018616,0.00018616,0.00018616
83,7720.39,0.93799,0.93409,1.85745,0.00318,0.34653,0.69391,0.6924,0.70582,0.55097,0.70583,0.70425,0.69933,0.47495,1.44714,2.08548,5.92209,0.00749,0,0.00018352,0.00018352,0.00018352
84,7801.93,0.91826,0.90303,1.73288,0.00307,0.35782,0.76626,0.66185,0.70958,0.53247,0.75061,0.65476,0.69475,0.46512,1.49244,1.91267,6.37966,0.00786,0,0.00018088,0.00018088,0.00018088
85,7905.02,0.94495,0.99334,1.83575,0.00316,0.36007,0.7579,0.67607,0.71707,0.55019,0.74041,0.65644,0.681,0.47443,1.45809,2.0519,5.67633,0.00784,0,0.00017824,0.00017824,0.00017824
86,7995.72,0.94518,0.97427,1.90275,0.00336,0.34986,0.74515,0.69144,0.70956,0.53554,0.73167,0.67786,0.68687,0.46427,1.45815,1.84599,6.30639,0.00772,0,0.0001756,0.0001756,0.0001756
87,8068.16,0.95066,0.92486,1.91758,0.00349,0.35268,0.74454,0.67569,0.70813,0.54205,0.73477,0.65109,0.68301,0.46074,1.45783,2.06306,6.34214,0.00804,0,0.00017296,0.00017296,0.00017296
88,8196.01,0.91635,0.91875,1.79867,0.00318,0.3562,0.80193,0.6821,0.71746,0.55587,0.7721,0.66555,0.68164,0.47219,1.39926,2.02338,6.37506,0.00718,0,0.00017032,0.00017032,0.00017032
89,8285.74,0.91076,0.93694,1.76966,0.00318,0.34511,0.77179,0.68089,0.71637,0.53974,0.74692,0.664,0.68314,0.46682,1.46424,2.081,6.04547,0.00765,0,0.00016768,0.00016768,0.00016768
90,8407.4,0.92328,0.93936,1.81669,0.00323,0.36104,0.77531,0.6492,0.72043,0.54279,0.74053,0.63895,0.68703,0.4774,1.46253,2.08735,6.22183,0.00766,0,0.00016504,0.00016504,0.00016504
91,8479.13,0.91243,0.94166,1.80069,0.00321,0.36558,0.73832,0.66851,0.70387,0.5311,0.75359,0.63862,0.67544,0.47607,1.49381,2.27851,6.21909,0.00796,0,0.0001624,0.0001624,0.0001624
92,8562.89,0.92333,0.93211,1.81136,0.00336,0.35459,0.77505,0.67598,0.70695,0.53957,0.76701,0.66543,0.68085,0.46785,1.46735,2.13142,6.22575,0.00748,0,0.00015976,0.00015976,0.00015976
93,8654.46,0.91108,0.91969,1.74135,0.00317,0.33847,0.6966,0.69088,0.69264,0.53656,0.75317,0.63388,0.6727,0.45406,1.49223,2.30962,6.12783,0.00803,0,0.00015712,0.00015712,0.00015712
94,8731.63,0.88329,0.89648,1.70326,0.00303,0.34136,0.76543,0.65672,0.70671,0.54167,0.76074,0.63256,0.67071,0.46894,1.43786,2.17861,6.31567,0.00744,0,0.00015448,0.00015448,0.00015448
95,8812.7,0.90052,0.93918,1.78836,0.00303,0.34771,0.78376,0.6735,0.72402,0.55471,0.76219,0.65075,0.68725,0.47911,1.39425,2.07538,5.90451,0.00705,0,0.00015184,0.00015184,0.00015184
96,8900.27,0.85822,0.8698,1.67829,0.00286,0.33608,0.75034,0.68764,0.71866,0.53927,0.71751,0.6575,0.67766,0.47137,1.42336,2.00657,6.14601,0.0072,0,0.0001492,0.0001492,0.0001492
97,8968.27,0.87116,0.88617,1.68966,0.003,0.33532,0.75623,0.67753,0.71441,0.53859,0.72555,0.65078,0.67954,0.46879,1.48215,2.08967,5.9965,0.00766,0,0.00014656,0.00014656,0.00014656
98,9084.36,0.8791,0.90362,1.71786,0.00305,0.34546,0.71943,0.71882,0.71471,0.54116,0.71515,0.67332,0.67516,0.46019,1.45167,2.10139,5.8588,0.00729,0,0.00014392,0.00014392,0.00014392
99,9181.39,0.85776,0.86991,1.65384,0.00291,0.34127,0.7735,0.65892,0.71397,0.55559,0.72315,0.66948,0.69028,0.46877,1.45711,2.17469,5.92824,0.00745,0,0.00014128,0.00014128,0.00014128
100,9272.39,0.87279,0.90975,1.67489,0.00285,0.34037,0.79513,0.67401,0.72914,0.55854,0.77188,0.66389,0.69645,0.47539,1.45015,2.12545,5.92919,0.00738,0,0.00013864,0.00013864,0.00013864
101,9357.12,0.84693,0.8833,1.64775,0.00296,0.33475,0.72111,0.7101,0.72556,0.55335,0.74439,0.65251,0.68327,0.48314,1.47521,2.09811,5.85134,0.00765,0,0.000136,0.000136,0.000136
102,9445.83,0.85557,0.86919,1.57757,0.00287,0.33902,0.78887,0.65556,0.71972,0.54875,0.7731,0.64683,0.70426,0.4769,1.46783,2.06829,6.31039,0.00753,0,0.00013336,0.00013336,0.00013336
103,9551.52,0.88501,0.91842,1.73781,0.00307,0.34452,0.71193,0.69562,0.70833,0.53866,0.70441,0.67113,0.69067,0.47433,1.51315,2.19122,6.13344,0.00783,0,0.00013072,0.00013072,0.00013072
104,9646.94,0.86015,0.87576,1.62989,0.00296,0.33393,0.77273,0.68347,0.7247,0.55601,0.73706,0.65674,0.68912,0.47331,1.46247,2.15396,6.04256,0.00754,0,0.00012808,0.00012808,0.00012808
105,9752.32,0.86288,0.90982,1.6722,0.00285,0.33227,0.72795,0.67973,0.70104,0.53108,0.71542,0.66791,0.68308,0.46397,1.48541,2.06448,6.25979,0.00755,0,0.00012544,0.00012544,0.00012544
106,9880.83,0.85875,0.88848,1.66006,0.00281,0.33523,0.77209,0.65921,0.70818,0.54466,0.76073,0.65683,0.69059,0.46907,1.42539,2.02544,6.14159,0.00708,0,0.0001228,0.0001228,0.0001228
107,9948.4,0.8471,0.8649,1.6296,0.00289,0.33944,0.77879,0.66261,0.70796,0.54315,0.78429,0.64781,0.69177,0.47714,1.41232,2.02623,6.10702,0.00706,0,0.00012016,0.00012016,0.00012016
108,10063.8,0.8738,0.89592,1.65299,0.00293,0.33557,0.78377,0.66278,0.70951,0.54607,0.77035,0.65471,0.69152,0.46708,1.41096,2.13267,6.48116,0.00706,0,0.00011752,0.00011752,0.00011752
109,10137,0.86356,0.86866,1.69418,0.00286,0.33122,0.74003,0.69877,0.70931,0.54371,0.72854,0.6883,0.68937,0.47792,1.39653,2.1521,6.11161,0.00712,0,0.00011488,0.00011488,0.00011488
110,10225.1,0.8312,0.85366,1.51784,0.00282,0.33372,0.75646,0.66698,0.71389,0.54894,0.74557,0.68257,0.70074,0.47715,1.41397,2.13526,6.1693,0.00737,0,0.00011224,0.00011224,0.00011224
111,10308.3,0.83188,0.86764,1.57464,0.00286,0.32694,0.74937,0.67074,0.71595,0.55611,0.76376,0.65816,0.70348,0.48254,1.41192,2.117,6.30345,0.00706,0,0.0001096,0.0001096,0.0001096
112,10414.9,0.83358,0.83752,1.56291,0.00278,0.32955,0.78838,0.65332,0.71066,0.54748,0.74205,0.67303,0.69595,0.4742,1.40181,2.14437,6.43987,0.00705,0,0.00010696,0.00010696,0.00010696
113,10504.7,0.86653,0.89858,1.69271,0.00299,0.34356,0.80732,0.66183,0.7132,0.54936,0.73314,0.70787,0.6964,0.47952,1.43754,2.03521,6.16596,0.00735,0,0.00010432,0.00010432,0.00010432
114,10591.3,0.8437,0.89493,1.64727,0.00268,0.32462,0.78429,0.64568,0.70848,0.55024,0.77506,0.6477,0.69365,0.47374,1.41843,2.01429,6.1534,0.00735,0,0.00010168,0.00010168,0.00010168
115,10701.5,0.82903,0.84298,1.61266,0.0029,0.32941,0.76125,0.67871,0.70561,0.54517,0.76727,0.65642,0.69473,0.48025,1.39125,1.91711,6.43157,0.00707,0,9.904e-05,9.904e-05,9.904e-05
116,10803.4,0.8188,0.83592,1.55779,0.00278,0.32479,0.77104,0.69473,0.71451,0.54847,0.74767,0.68193,0.69378,0.48016,1.38346,1.94172,6.36338,0.00684,0,9.64e-05,9.64e-05,9.64e-05
